plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,0,7.5,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,18,KO,0,3,10/01/2021 10:17:00 AM,0.563,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,19,KO,0,3,10/01/2021 10:17:00 AM,0.346,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,20,KO,0,3,10/01/2021 10:17:00 AM,0.679,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,21,KO,0,3,10/01/2021 10:17:00 AM,0.575,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,22,KO,0,3,10/01/2021 10:17:00 AM,0.583,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,23,KO,0,3,10/01/2021 10:17:00 AM,0.762,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,24,KO,0,3,10/01/2021 10:17:00 AM,0.755,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controla_j,2,J,25,KO,0,3,10/01/2021 10:17:00 AM,0.866,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,1,KO,0,3,10/01/2021 10:17:00 AM,0.668,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,2,KO,0,3,10/01/2021 10:17:00 AM,1.107,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,3,KO,0,3,10/01/2021 10:17:00 AM,0.893,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,4,KO,0,3,10/01/2021 10:17:00 AM,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,5,KO,0,3,10/01/2021 10:17:00 AM,0.727,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,6,KO,0,3,10/01/2021 10:17:00 AM,0.708,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,7,KO,0,3,10/01/2021 10:17:00 AM,0.622,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,8,KO,0,3,10/01/2021 10:17:00 AM,0.697,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,9,KO,0,3,10/01/2021 10:17:00 AM,0.489,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,10,KO,0,3,10/01/2021 10:17:00 AM,0.539,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,11,KO,0,3,10/01/2021 10:17:00 AM,0.331,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,12,KO,0,3,10/01/2021 10:17:00 AM,0.509,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,13,KO,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,14,KO,0,3,10/01/2021 10:17:00 AM,0.869,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,15,KO,0,3,10/01/2021 10:17:00 AM,0.647,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,16,KO,0,3,10/01/2021 10:17:00 AM,0.838,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,17,KO,0,3,10/01/2021 10:17:00 AM,0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,18,KO,0,3,10/01/2021 10:17:00 AM,0.699,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,19,KO,0,3,10/01/2021 10:17:00 AM,0.646,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,20,KO,0,3,10/01/2021 10:17:00 AM,0.511,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_controlb_j,2,J,21,KO,0,3,10/01/2021 10:17:00 AM,0.438,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,1,KO,7.5,3,10/01/2021 10:17:00 AM,0.589,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,2,KO,7.5,3,10/01/2021 10:17:00 AM,0.567,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,3,KO,7.5,3,10/01/2021 10:17:00 AM,0.803,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,4,KO,7.5,3,10/01/2021 10:17:00 AM,0.654,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,5,KO,7.5,3,10/01/2021 10:17:00 AM,0.237,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,6,KO,7.5,3,10/01/2021 10:17:00 AM,0.675,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,7,KO,7.5,3,10/01/2021 10:17:00 AM,0.541,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,8,KO,7.5,3,10/01/2021 10:17:00 AM,1.007,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,9,KO,7.5,3,10/01/2021 10:17:00 AM,0.706,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,10,KO,7.5,3,10/01/2021 10:17:00 AM,0.693,,,,,,,,,,,,,,,,,,,,,,,,,
2_KO_7.5_j,2,J,11,KO,7.5,3,10/01/2021 10:17:00 AM,0.484,,,,,,,,,,,,,,,,,,,,,,,,,
