plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_date,day3_root,day4_date,day4_root,day5_date,day5_root,day6_date,day6_root,day7_date,day7_root
1_KO_controlb_j,1,J,13,KO,0,9/24/2021 10:56,0.683,9/25/2021 11:31,0.977,9/26/2021 10:26,1.754,9/27/2021 11:42,2.122,9/28/2021 10:41,2.923
1_KO_controlb_j,1,J,14,KO,0,9/24/2021 10:56,0.635,9/25/2021 11:31,1.231,9/26/2021 10:26,1.971,9/27/2021 11:42,3.223,9/28/2021 10:41,4.375
1_KO_controlb_j,1,J,15,KO,0,9/24/2021 10:56,0.66,9/25/2021 11:31,1.209,9/26/2021 10:26,2.117,9/27/2021 11:42,2.836,9/28/2021 10:41,3.618
1_KO_controlb_j,1,J,16,KO,0,9/24/2021 10:56,0.599,9/25/2021 11:31,1.121,9/26/2021 10:26,1.938,9/27/2021 11:42,3.149,9/28/2021 10:41,4.48
1_KO_controlb_j,1,J,17,KO,0,9/24/2021 10:56,0.472,9/25/2021 11:31,1.04,9/26/2021 10:26,1.419,9/27/2021 11:42,1.595,9/28/2021 10:41,1.779
1_KO_controlb_j,1,J,18,KO,0,9/24/2021 10:56,0.716,9/25/2021 11:31,1.151,9/26/2021 10:26,1.588,9/27/2021 11:42,2.182,9/28/2021 10:41,3.503
1_KO_controlb_j,1,J,19,KO,0,9/24/2021 10:56,0.622,9/25/2021 11:31,1.077,9/26/2021 10:26,1.538,9/27/2021 11:42,1.978,9/28/2021 10:41,2.681
1_KO_controlb_j,1,J,20,KO,0,9/24/2021 10:56,0,9/25/2021 11:31,0.545,9/26/2021 10:26,1.446,9/27/2021 11:42,2.209,9/28/2021 10:41,3.063
1_KO_137.5_j,1,J,1,KO,137.5,9/24/2021 10:58,0,9/25/2021 11:32,1.297,9/26/2021 10:26,1.729,9/27/2021 11:42,2.111,9/28/2021 10:42,3.447
1_KO_137.5_j,1,J,2,KO,137.5,9/24/2021 10:58,0.47,9/25/2021 11:32,0.852,9/26/2021 10:26,1.775,9/27/2021 11:42,2.347,9/28/2021 10:42,3.109
1_KO_137.5_j,1,J,3,KO,137.5,9/24/2021 10:58,0.472,9/25/2021 11:32,1.021,9/26/2021 10:26,1.83,9/27/2021 11:42,2.347,9/28/2021 10:42,3.014
1_KO_137.5_j,1,J,4,KO,137.5,9/24/2021 10:58,0.415,9/25/2021 11:32,1.084,9/26/2021 10:26,2.14,9/27/2021 11:42,2.988,9/28/2021 10:42,3.805
1_KO_137.5_j,1,J,5,KO,137.5,9/24/2021 10:58,0.527,9/25/2021 11:32,0.977,9/26/2021 10:26,1.724,9/27/2021 11:42,2.127,9/28/2021 10:42,3.114
1_KO_137.5_j,1,J,6,KO,137.5,9/24/2021 10:58,0.595,9/25/2021 11:32,1.126,9/26/2021 10:26,1.813,9/27/2021 11:42,2.714,9/28/2021 10:42,3.754
1_KO_137.5_j,1,J,7,KO,137.5,9/24/2021 10:58,0.547,9/25/2021 11:32,0.816,9/26/2021 10:26,1.368,9/27/2021 11:42,1.804,9/28/2021 10:42,2.716
1_KO_137.5_j,1,J,8,KO,137.5,9/24/2021 10:58,0.387,9/25/2021 11:32,0.762,9/26/2021 10:26,1.43,9/27/2021 11:42,1.957,9/28/2021 10:42,2.832
1_KO_137.5_j,1,J,9,KO,137.5,9/24/2021 10:58,0.631,9/25/2021 11:32,1.144,9/26/2021 10:26,2.017,9/27/2021 11:42,2.612,9/28/2021 10:42,3.663
1_KO_137.5_j,1,J,10,KO,137.5,9/24/2021 10:58,0.528,9/25/2021 11:32,0.968,9/26/2021 10:26,1.783,9/27/2021 11:42,2.741,9/28/2021 10:42,3.61
1_KO_137.5_j,1,J,11,KO,137.5,9/24/2021 10:58,0.578,9/25/2021 11:32,1.174,9/26/2021 10:26,1.952,9/27/2021 11:42,3.166,9/28/2021 10:42,4.078
1_KO_137.5_j,1,J,12,KO,137.5,9/24/2021 10:58,0.488,9/25/2021 11:32,0.911,9/26/2021 10:26,1.915,9/27/2021 11:42,2.565,9/28/2021 10:42,3.064
1_KO_137.5_j,1,J,13,KO,137.5,9/24/2021 10:58,0.485,9/25/2021 11:32,0.778,9/26/2021 10:26,1.916,9/27/2021 11:42,2.68,9/28/2021 10:42,3.447
1_KO_137.5_j,1,J,14,KO,137.5,9/24/2021 10:58,0.562,9/25/2021 11:32,0.982,9/26/2021 10:26,1.883,9/27/2021 11:42,2.797,9/28/2021 10:42,3.395
1_KO_137.5_j,1,J,15,KO,137.5,9/24/2021 10:58,0.655,9/25/2021 11:32,1.198,9/26/2021 10:26,1.931,9/27/2021 11:42,2.643,9/28/2021 10:42,3.78
1_KO_137.5_j,1,J,16,KO,137.5,9/24/2021 10:58,0,9/25/2021 11:32,0.438,9/26/2021 10:26,0.469,9/27/2021 11:42,1.091,9/28/2021 10:42,1.151
1_KO_137.5_j,1,J,17,KO,137.5,9/24/2021 10:58,0.557,9/25/2021 11:32,1.084,9/26/2021 10:26,2.263,9/27/2021 11:42,3.373,9/28/2021 10:42,4.182
1_KO_137.5_j,1,J,18,KO,137.5,9/24/2021 10:58,0.602,9/25/2021 11:32,1.036,9/26/2021 10:26,2.097,9/27/2021 11:42,2.369,9/28/2021 10:42,2.9
1_KO_137.5_j,1,J,19,KO,137.5,9/24/2021 10:58,0.36,9/25/2021 11:32,0.725,9/26/2021 10:26,1.785,9/27/2021 11:42,2.517,9/28/2021 10:42,3.004
1_KO_137.5_j,1,J,20,KO,137.5,9/24/2021 10:58,0.558,9/25/2021 11:32,1.008,9/26/2021 10:26,2.061,9/27/2021 11:42,3.272,9/28/2021 10:42,4.276
1_KO_137.5_j,1,J,21,KO,137.5,9/24/2021 10:58,0.45,9/25/2021 11:32,1.161,9/26/2021 10:26,1.765,9/27/2021 11:42,2.415,9/28/2021 10:42,3.033
1_KO_137.5_j,1,J,22,KO,137.5,9/24/2021 10:58,0.534,9/25/2021 11:32,1.009,9/26/2021 10:26,1.938,9/27/2021 11:42,2.669,9/28/2021 10:42,3.066
