plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_time,day3_root,day4_time,day4_root,day5_time,day5_root,day6_time,day6_root,day7_time,day7_root,,,,
1_KO_controla_j,2,J,16,KO,0,,0.601,,1.377,,2.678,,3.376,,3.945,,,,
1_KO_controla_j,2,J,17,KO,0,,0.374,,1.221,,2.596,,3.366,,4.012,,,,
1_KO_controla_j,2,J,18,KO,0,,0.563,,1.49,,2.211,,3.004,,3.863,,,,
1_KO_controla_j,2,J,19,KO,0,,0.346,,1.325,,0.381,,0.969,,2.339,,,,
1_KO_controla_j,2,J,20,KO,0,,0.679,,1.387,,2.411,,3.419,,4.093,,,,
1_KO_controla_j,2,J,21,KO,0,,0.575,,1.475,,2.835,,3.958,,4.619,,,,
1_KO_controla_j,2,J,22,KO,0,,0.583,,1.487,,2.955,,4.188,,5.011,,,,
1_KO_controla_j,2,J,23,KO,0,,0.762,,1.723,,3.18,,4.574,,5.45,,,,
1_KO_controla_j,2,J,24,KO,0,,0.755,,2.06,,3.6,,4.274,,5.085,,,,
1_KO_controla_j,2,J,25,KO,0,,0.866,,1.974,,3.648,,4.364,,5.443,,,,
1_KO_controlb_j,2,J,1,KO,0,,0.668,,0.818,10/3/2021 10:15,1.759,10/4/2021 10:07,2.854,,3.086,,,,
1_KO_controlb_j,2,J,2,KO,0,,1.107,,1.226,,1.589,,3.142,,3.691,,,,
1_KO_controlb_j,2,J,3,KO,0,,0.893,,1.683,,2.15,,1.92,,2.171,,,,
1_KO_controlb_j,2,J,4,KO,0,,0.58,,1.434,,2.558,,3.833,,4.454,,,,
1_KO_controlb_j,2,J,5,KO,0,,0.727,,2,,2.559,,3.692,,4.783,,,,
1_KO_controlb_j,2,J,6,KO,0,,0.708,,1.965,,3.14,,4.58,,5.627,,,,
1_KO_controlb_j,2,J,7,KO,0,,0.622,,2.186,,2.601,,3.755,,4.631,,,,
1_KO_controlb_j,2,J,8,KO,0,,0.697,,1.802,,3.689,,4.625,,5.373,,,,
1_KO_controlb_j,2,J,9,KO,0,,0.489,,1.195,,2.768,,4.15,,5.046,,,,
