plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day7_root
3_WT_5_j,3,j,3,WT,5,3.73
3_WT_5_j,3,j,4,WT,5,0
3_WT_5_j,3,j,5,WT,5,0.462
3_WT_5_j,3,j,6,WT,5,0
3_WT_5_j,3,j,7,WT,5,0
3_WT_5_j,3,j,8,WT,5,3.281
3_WT_5_j,3,j,9,WT,5,0
3_WT_5_j,3,j,10,WT,5,5.097
3_WT_5_j,3,j,11,WT,5, NG
3_WT_5_j,3,j,12,WT,5,0.208
3_WT_5_j,3,j,13,WT,5,0
3_WT_5_j,3,j,14,WT,5,0
3_WT_5_j,3,j,15,WT,5,0
3_WT_5_j,3,j,16,WT,5,4.054
3_WT_5_j,3,j,17,WT,5,4.476
3_WT_5_j,3,j,18,WT,5,5.733
3_WT_5_j,3,j,19,WT,5,0
3_WT_5_j,3,j,20,WT,5,5.064
3_WT_7.5_j,3,j,1,WT,7.5,0
3_WT_7.5_j,3,j,2,WT,7.5,0
3_WT_7.5_j,3,j,3,WT,7.5,0
3_WT_7.5_j,3,j,4,WT,7.5,0
3_WT_7.5_j,3,j,5,WT,7.5,0.316
3_WT_7.5_j,3,j,6,WT,7.5,0
3_WT_7.5_j,3,j,7,WT,7.5,0.415
3_WT_7.5_j,3,j,8,WT,7.5,0
3_WT_7.5_j,3,j,9,WT,7.5,0
3_WT_7.5_j,3,j,10,WT,7.5,0
3_WT_7.5_j,3,j,11,WT,7.5,3.501
3_WT_7.5_j,3,j,12,WT,7.5,0
3_WT_7.5_j,3,j,13,WT,7.5,3.256
3_WT_7.5_j,3,j,14,WT,7.5,0
3_WT_7.5_j,3,j,15,WT,7.5,0
3_WT_7.5_j,3,j,16,WT,7.5,0
3_WT_7.5_j,3,j,17,WT,7.5,1.322
3_WT_7.5_j,3,j,18,WT,7.5,
3_WT_7.5_j,3,j,19,WT,7.5,0.784
3_WT_7.5_j,3,j,20,WT,7.5,0.377
3_WT_10_j,3,j,1,WT,10,0
3_WT_10_j,3,j,2,WT,10,0
3_WT_10_j,3,j,3,WT,10,4.303
3_WT_10_j,3,j,4,WT,10,0
3_WT_10_j,3,j,5,WT,10,3.21
3_WT_10_j,3,j,6,WT,10,0
3_WT_10_j,3,j,7,WT,10,0
3_WT_10_j,3,j,8,WT,10,0
3_WT_10_j,3,j,9,WT,10,0
3_WT_10_j,3,j,10,WT,10,0
3_WT_10_j,3,j,11,WT,10,0
3_WT_10_j,3,j,12,WT,10,2.532
3_WT_10_j,3,j,13,WT,10,0
3_WT_10_j,3,j,14,WT,10,0
3_WT_10_j,3,j,15,WT,10,1.318
3_WT_10_j,3,j,16,WT,10,4.09
3_WT_10_j,3,j,17,WT,10,0
3_WT_10_j,3,j,18,WT,10,0
3_WT_10_j,3,j,19,WT,10,0
3_WT_10_j,3,j,20,WT,10,0
3_WT_10_j,3,j,21,WT,10,0
